thanh_ngu_tieng_trung,phien_am,am_han_viet,ket_cau_hinh_thuc,ket_cau_ngu_phap,sac_thai_bieu_cam,chu_de,cach_dung,nghia,vi_du_tieng_trung,vi_du_tieng_viet,tu_can_nghia,tu_trai_nghia,nguon_goc_thanh_ngu,cau_chuyen_thanh_ngu
挨打受骂, āidǎ shòu mà ,ai đả thụ mạ ,,Liên hợp,Tích cực,,"Vị ngữ, Định ngữ, Tân ngữ","Chịu đựng, bị đánh mắng hoặc bị ngược đãi.",她在婆家经常挨打受骂,Cô ấy ở nhà chồng thường xuyên bị đánh đập và mắng nhiếc.,挨打受气,,"Thanh, Tào Tuyết Cần, Hồng Lâu Mộng – Hồi 9: ""Bọn nô tài chúng ta vô ích mà chịu đánh chịu mắng.""",
挨肩搭背,āi jiān dā bèi,ai kiên đáp bội,,Liên hợp,Tích cực,Thành ngữ về vai,"Vị ngữ, Định ngữ","Vai sát vai, tay đặt lên lưng nhau; chỉ sự gần gũi, thân mật cực kỳ.",看她俩挨肩搭背的样子，就知道是一对好朋友。,"Nhìn hai người họ vai kề vai, ta có thể biết ngay họ là đôi bạn thân thiết.",勾肩搭背,,"Quan Trường Duy Tân Ký – Hồi 9: ""Tiểu Ngọc Phượng thấy là quan lớn cục cảnh sát đến, vội vàng bỏ các khách, trốn vào trong phòng, cùng Viên Bá Trân vai kề vai, lưng dựa lưng ngồi chung một chỗ.""",
挨饿受冻,ái è shòu dòng,ai ngạ thụ đống,,Liên hợp,Tích cực,,"Vị ngữ, Tân ngữ, Định ngữ",Ăn đói mặc rách; vừa đói vừa rét,我不想挨饿受冻了,Tôi không muốn chịu đói rét nữa.,挨冻受饿,,"Lão Xá, Tứ Thế Đồng Đường: ""Trường Thuận lại mỗi tháng từ chỗ Cao Dịch Đà lĩnh cho cô ấy mười đồng 'tiền cứu tế'. Cô ấy nhất thời không đến nỗi chịu đói chịu rét.""",
暧昧不明,ài mèi bù míng, ái muội bất minh ,,Liên hợp,Tiêu cực,,"Vị ngữ, Trạng ngữ",Mối quan hệ mập mờ,武汉国民政府和当权军人对于这叛变采取了暧昧不明的态度，办求“化大事为小事”。（陶菊隐《北洋军阀统治时期史话》）,"Chính phủ Quốc dân ở Vũ Hán và các quân nhân cầm quyền đối với cuộc phản loạn này đã có thái độ mơ hồ, cố gắng ""biến chuyện lớn thành chuyện nhỏ"".",含糊不清、不明不白,泾渭分明,"Thanh, Văn Khang, Nữ Nhi Anh Hùng Truyện – Hồi 8: ""Lại chôn vùi tấm lòng hiệp nghĩa của cô nương một cách mờ ám, không rõ ràng, ta An Long Mai thật sự hối hận không nơi nào giấu!""",
暧昧之情,ài mèi zhī qíng,ái muội chi tình ,,Chính phụ,Tiêu cực,Thành ngữ về tình yêu,Tân ngữ,"Hành động không minh bạch, có ẩn khuất điều gì đó không thể nói ra.",而孤男寡女并外一室，不无暧昧之情。（清 明教中人《好逑传》第十五回）,"Cô nam quả nữ ở  trong một phòng, không khỏi có chút tình cảm mơ hồ.",,,"Minh, Phùng Mộng Long, Cảnh Thế Thông Ngôn – Tam Hiện Thân Bao Long Đồ Đoạn Oan: ""Khi làm tri huyện, liền có thể phân tích tình cảm mờ ám của nhân gian, đoạn tuyệt những vụ án hồ nghi của thiên hạ.""",
爱不忍释,ài bù rěn shì,ái bất nhẫn thích,,Bổ sung,Trung tính,Thành ngữ về tình yêu,"Vị ngữ, Định ngữ, Trạng ngữ",Quyến luyến không rời,得见钱唐陈小云司马《香畹楼忆语》钞本一种，爱不忍释，亟问假归，手录展玩。（清 王维鋆《香畹楼忆语序一》）,"Khi được thấy bản sao ""Hương Oản Lâu Nhớ Ngữ"" của tiền thân Chen Xiaoyun từ Tiền Đường, tôi yêu thích đến mức không nỡ buông tay, liền hỏi mượn về, ghi chép và thưởng thức từng trang.",爱不释手、如获至宝,弃若敝屣、不屑一顾,"Nam triều Lương, Tiêu Thống, Đào Uyên Minh Tập Tự: ""Ta yêu thích văn chương của ông ấy, không thể rời tay.""",
爱国如家,ài guó rú jiā,ái quốc như gia,,Chính phụ,Tích cực,,Vị ngữ,Vua yêu thương đất nước và dân chúng như yêu thương gia đình mình.,《晋书·刘聪传》：“臣闻古之圣王爱国如家，故皇天亦祐之如子。,"”Tôi nghe nói, các vua thánh nhân xưa yêu nước như yêu gia đình, vì vậy trời cao cũng bảo vệ họ như bảo vệ con cái.",爱民如子,,"Hán, Tuân Duyệt, Hán Kỷ – Huệ Đế Kỷ: ""Phong kiến chư hầu truyền đời giữ vị, muốn khiến dân thân như con, yêu nước như nhà.""",
爱憎分明,ài zēng fēn míng,ái tăng phân minh,,Chủ vị,Tích cực,Thành ngữ về yêu,"Vị ngữ, Định ngữ, Trạng ngữ",Yêu hận rạch ròi,他很困惑，也很痛苦，想不到爱憎分明、坚强独立的小睛会怕人“闲话”。（陈若曦《耿尔在北京》）,"Anh ấy rất bối rối và đau khổ, không thể ngờ được rằng cô gái mạnh mẽ, rõ ràng trong yêu ghét như vậy lại sợ bị người khác ""nói xấu"".",泾渭分明、旗帜鲜明,暧昧不明、爱憎无常,"Trần Nhược Hi, Cảnh Nhĩ tại Bắc Kinh: ""Anh ấy rất bối rối, cũng rất đau khổ, không ngờ Tiểu Tình, người yêu ghét rõ ràng, kiên cường độc lập, lại sợ người khác ‘đàm tiếu’.""",
爱才若渴,ài cái ruò kě,ái tài nhược khát,,Chủ vị,Trung tính,,"Vị ngữ, Định ngữ","Nhân tài, người có tài năng, ám chỉ sự khao khát có được người tài như khát nước.",他们发现了佳人并非因为‘爱才若渴’而做婊子的，佳人只为的是钱。（鲁迅《上海文艺之一瞥》）,"Họ phát hiện ra rằng cô gái không phải làm gái vì ""yêu tài như khát"", mà chỉ vì tiền.",爱才如渴、爱才如命,嫉贤妒能,"Thanh, Diệp Tiết, Nguyên Thi – Ngoại Thiên Thượng: ""Ghét ác rất nghiêm, yêu tài như khát, đây chính là diện mạo của Hàn Dũ.""",
爱理不理,ài lǐ bù lǐ,ái lí bất lí,ABCB,Rút gọn,Tích cực,,"Vị ngữ, Định ngữ, Trạng ngữ","Không quan tâm, lạnh nhạt với người khác, thiếu lễ độ.",钱钟书《围城》：“孙太太爱理不理地应了一声。”,"Bà Sơn đáp một cách hờ hững, không mấy quan tâm.",爱答不理,,"Thanh, Lý Bảo Gia, Quan Trường Hiện Hình Ký – Hồi 59: ""Hoàng Nhị Ma Tử lạnh nhạt, hỏi anh ta có việc gì cần giải quyết""",
爱钱如命,ài qián rú mìng, ái tiền như mệnh ,,Chính phụ,Tiêu cực,,"Vị ngữ, Định ngữ","Miêu tả người vô cùng tham lam, keo kiệt, yêu tiền như mạng",1942年我在成都重见她的时候，她已经成了一个爱钱如命的可笑的胖女人。（巴金《谈》）,"Năm 1942, khi tôi gặp lại cô ấy ở Thành Đô, cô ấy đã trở thành một người phụ nữ béo mập, đáng cười, và mê tiền như mạng sống.",爱财如命,仗义疏财,"Minh, Tạ Đãng, Tứ Hỷ Ký – Đại Tống Tất Nhân: ""Được gọi là Nguyệt Lão, còn có tên là Băng Nhân, yêu tiền đến mức như mạng sống, nói dối như thể thần, chính là bà mai tài giỏi của gia đình.""",
矮人看场,ǎi rén kàn chǎng,ải nhân khán trường ,,Chủ vị,Tiêu cực,,"Vị ngữ, Định ngữ","Miêu tả người không có chính kiến, chỉ biết theo ý người khác, thiếu hiểu biết.",是真是假，要弄个明白，不能矮人看场，人云亦云。,"Đúng hay sai, phải làm cho rõ ràng, không thể như người thấp bé nhìn sân khấu, nghe theo lời người khác mà không tự mình phán đoán.",矮子看戏、人云亦云,自成一家、自有主见,"Chu Tử Ngữ Loại – Quyển 27: ""Cũng như người lùn xem kịch, thấy người phía trước cười, họ cũng cười theo, dù mắt không nhìn thấy gì, nhưng chắc chắn là điều gì đó vui, nên họ cười theo""",
矮人看戏,ǎi rén kàn xì,ải nhân khán hí ,,Chủ vị,Tiêu cực,,"Vị ngữ, Định ngữ","Miêu tả người không có chính kiến, chỉ biết theo ý người khác, thiếu hiểu biết.",你应该有自己独立的见解，不能像矮人看戏那样，人云亦云。,"Bạn nên có quan điểm độc lập của mình, không thể như người thấp bé nhìn sân khấu, chỉ biết nghe theo người khác mà không suy nghĩ.",随声附和、矮子看戏、侏儒看戏,独立思考,"Thanh, Triệu Dực, Luận Thi – Thơ: ""Người lùn xem kịch không thấy gì cả, chỉ biết theo người khác mà nhận xét, nói dài nói ngắn.""",
矮人观场,ǎi rén guān cháng,ải nhân quan trường,,Chủ vị,Tiêu cực,,"Vị ngữ, Định ngữ","Miêu tả người không có chính kiến, chỉ biết theo ý người khác, thiếu hiểu biết.",最有识见之客，亦作矮人观场。★清·李渔《闲情偶寄·演习·选剧》,"Kể cả là khách có hiểu biết sâu sắc nhất, cũng chỉ như người thấp bé nhìn sân khấu vậy.
(Trích từ ""Nhàn Tình Ngẫu Ký: Diễn Tập: Tuyển Kịch"" của Lý Ngư, thời kỳ Thanh.)",矮子看戏、矮人看场、人云亦云,见多识广,"Thanh, Vương Sĩ Trinh, Hương Tổ Bút Ký – Quyển 10: ""Tôi thấy các tác phẩm của Tống Cảnh Văn, mỗi chữ mỗi câu đều có nguồn gốc, đối đối xứng xứng rất chuẩn, chỉ những người đọc qua vạn cuốn sách mới hiểu được, rõ ràng là vượt xa những tác giả thời Nam Đô. Người đời nay, chỉ nghe và nói theo, khen hay chê đều như người lùn xem kịch, không ai thực sự hiểu rõ.""",
矮子里拔将军,ǎi zǐ lǐ bá jiāng jūn,ải tử lí bạt tướng quân,,Câu phức,Tích cực,,"Tân ngữ, Định ngữ","Chọn ra người tốt nhất từ những người không nổi bật.
So bó đũa chọn cột cờ; bó đũa chọn cột cờ",我们也只有矮子里拔将军，挑选几个稍微满意的就行,"Chúng ta cũng chỉ có thể trong đám người thấp bé mà chọn ra một người tạm ổn, chứ không thể yêu cầu quá cao.",,,"Thanh, Thạch Ngọc Côn, Tiểu Ngũ Nghĩa – Hồi 53: ""Tục ngữ thường nói một câu: ‘Trong đám người lùn chọn tướng quân.’""",
矮小精悍,ǎi xiǎo jīng hàn,ải tiểu tinh hãn,,Liên hợp,Tích cực,,"Vị ngữ, Định ngữ","Mô tả người nhỏ con nhưng mạnh mẽ và thông minh, dũng cảm.",他就是矮小精悍的个子,Anh ấy là một người có vóc dáng nhỏ bé nhưng mạnh mẽ.,短小精悍,五大三粗,"Tăng Phác, Nghiệt Hải Hoa – Chương 33: ""Một người dũng cảm nhất tên là Từ Tương, sinh ra thấp bé nhưng tinh anh, sức lực hơn người.""",
矮矮实实,ǎi ǎi shí shí,ải ải thực thực ,AABB,Liên hợp,Tích cực,,"Định ngữ, Trạng ngữ","Miêu tả người thấp nhưng có thân hình vạm vỡ, khỏe mạnh.
Thấp đậm",李逵是一个矮矮实实的黑汉子,"Lý Quí là một người đàn ông da đen, vóc dáng thấp bé nhưng khỏe mạnh.",矮矮胖胖,,,
碍手碍脚,ài shǒu ài jiǎo,ngại thủ ngại cước,ABAC,Liên hợp,Tiêu cực,Thành ngữ về cử chỉ,"Vị ngữ, Định ngữ",Vướng chân vướng tay,宝钗因说道：“咱们别在这里碍手碍脚。”说着，和宝玉等便往迎春房中来。（清 曹雪芹《红楼梦》第十八回）,"Bảo Châu nói: ""Chúng ta đừng làm vướng víu ở đây."" Nói xong, cô cùng Bảo Ngọc và những người khác đi về phòng",触手碍脚,顺顺当当,"Minh, Lăng Mông Sơ, Sơ Khắc Phách Án Kinh Kỳ – Quyển 32: ""Sau này có chút hiềm kỵ, vướng tay vướng chân, rốt cuộc không hay.""",
安不忘危,ān bù wàng wēi,an bất vong nguy ,,Liên hợp,Tích cực,,"Vị ngữ, Định ngữ","Dù trong hoàn cảnh an toàn cũng phải luôn cảnh giác, đề phòng nguy hiểm.",何小姐是从苦境里过来的，如今得地身安，安不忘危，立志要成全起这份人家，立番事业。（清 文康《儿女英雄传》第三十回）,"Cô Hà là người đã trải qua hoàn cảnh khó khăn, giờ đây đã ổn định và an cư. Cô không quên những ngày gian khổ, quyết tâm xây dựng sự nghiệp, thành công trong việc giúp đỡ gia đình này.",居安思危、常备不懈,高枕无忧、麻痹大意,"Chu Dịch – Hệ Từ Hạ: ""Vì vậy, người quân tử dù đang trong tình trạng an bình cũng không quên sự nguy hiểm, dù sống còn cũng không quên cái chết, dù đang cai quản cũng không quên phép tắc. Nhờ vậy, họ có thể giữ vững bản thân và bảo vệ được quốc gia.""",
安于现状,ān yú xiàn zhuàng,an vu hiện trạng,,Động tân,Tích cực,Thành ngữ về sự lười nhác chểnh mảng,"Vị ngữ, Tân ngữ","Thích nghi với tình hình hiện tại, không muốn thay đổi.",另有些同志在工作中疲蹋，老一套，安于现状。（刘少奇《论党》）,"Một số đồng chí khác trong công việc thì cảm thấy mệt mỏi, chỉ làm theo cách cũ, an phận với hiện trạng.",不求进取,勇猛精进、力争上游,"Lưu Thiếu Kỳ, Luận Đảng: ""Một số đồng chí khác lại trở nên mệt mỏi trong công việc, vẫn duy trì lối mòn, thỏa mãn với tình trạng hiện tại.""",
安份守己,ān fèn shǒu jǐ,an phận thủ kỉ,,Liên hợp,Tích cực,,"Vị ngữ, Định ngữ, Trạng ngữ","Người tuân thủ quy tắc, sống ngay thẳng, không làm việc vi phạm pháp luật.",种种田，做个安份守己的老百姓，不同样也可以过一辈子么？★聂绀弩《季氏将伐颛臾》,"Trồng chút ruộng, làm một người dân hiền lành, có phải cũng có thể sống cả đời như vậy không?",安分守己、遵纪守法,违法乱纪、为非作歹,"Lý Kiệt Nhân, Thiên Ma Vũ – Chương 17: ""Vì vậy, chúng ta nên khuyên họ an phận, sống đúng đắn là tốt nhất.""",
安内攘外,ān nèi rǎng wài,an nội nhương ngoại ,,Liên hợp,Tích cực,"Thành ngữ về nội bộ
Thành ngữ về bên ngoài","Vị ngữ, Định ngữ","Ban đầu chỉ về hiệu quả của thuốc, sau này ám chỉ việc ổn định nội bộ và loại bỏ mối đe dọa bên ngoài.",安内攘外之大经，富国强兵之远略。（孙中山《上李鸿章书》）,"Đó là kế sách lớn trong việc ổn định trong nước và đối phó với ngoại xâm, chiến lược xa dài để làm giàu quốc gia và củng cố quân đội.",抽薪止沸,,"Hán, Trương Trọng Cảnh, Thương Hàn Luận – Thái Dương Bệnh Thượng: ""Cam thảo có tính ôn hòa, giúp an ổn bên trong cơ thể và điều hòa mọi sự bất ổn bên ngoài.""""",
安土乐业,ān tǔ lè yè,an thổ lạc nghiệp,,Liên hợp,Tích cực,Thành ngữ về sự thư thái,"Vị ngữ, Tân ngữ",An cư lạc nghiệp,今天下不见兵革之具，而元元安土乐业，人致其力，以生天下之财。★宋··王安石《上仁宗皇帝言事书》,"Ngày nay, không thấy vũ khí chiến tranh, mọi người đều an cư lạc nghiệp, mỗi người tận lực để làm ra của cải cho đất nước.",安居乐业,流离失所,"Hán, Dương Hùng, Liên Châu: ""Quan chức không làm việc qua loa, thuế không nặng, tài lực không bị hao tổn, người dân an cư lạc nghiệp. Đó chính là hạnh phúc của dân.""",
安如泰山,ān rú tài shān,an như thái sơn ,,Chủ vị,Tích cực,,"Vị ngữ, Tân ngữ",Vững như bàn thạch; vững như núi Thái Sơn,在敌人的强大攻势下，我军阵地安如泰山。,"Dưới sự tấn công mạnh mẽ của kẻ thù, trận địa của quân ta vững vàng như núi Tai.",坚如磐石、岿然不动,岌岌可危、危在旦夕、不堪一击,"Hán, Mai Thừa, Thượng Thư Gián Ngô Vương: ""Thay đổi điều muốn làm, dễ như trở bàn tay, vững như Thái Sơn.""",
安如磐石,ān rú pán shí,an như bàn thạch,,Chủ vị,Tích cực,,"Vị ngữ, Trạng ngữ",Vững như bàn thạch; vững như núi Thái Sơn,他的公司的权威地位安如磐石。,Quyền lực của công ty anh ấy vững chắc như đá tảng.,安如泰山、坚如磐石,危如累卵、摇摇欲坠、风雨飘摧,"Tuân Tử – Phú Quốc: ""Nếu không vì danh vọng, không vì lợi ích, không vì tức giận, thì đất nước sẽ vững như tảng đá, bền lâu như cánh cờ""",
安安合适,ān ān hé shì,an an hợp thích,AABC,Chính phụ,Tích cực,,"Vị ngữ, Định ngữ","Vừa vặn, phù hợp một cách chính xác.",这件作品摆在这里安安合适,"Tác phẩm này đặt ở đây thật vừa vặn, thích hợp.",,,,
安安心心,ān ān xīn xīn,an an tâm tâm,AABB,Liên hợp,Tích cực,,Trạng ngữ,"Giữ tâm trạng bình thản, không bị ảnh hưởng bởi yếu tố bên ngoài.",他已经安安心心过日子了,Anh ấy đã ổn định sống cuộc sống của mình.,平心静气,心浮气躁,"Thanh, Vô Cấu Đạo Nhân, Bát Tiên Toàn Truyện – Hồi 74: ""Sau vài năm, tâm trạng hoàn toàn bình thản, mọi oán hận như được giải thoát, ông an lòng và tập trung tu hành dưới đất.""",
安安稳稳,ān ān wěn wěn,an an ổn ổn,AABB,Liên hợp,Tích cực,,"Định ngữ, Trạng ngữ","Miêu tả sự ổn định, vững vàng.",路遥《平凡的世界》第一卷第19章：“她现在会仍然像过去一样，安安稳稳而又忙忙碌碌地操心着工作。”,"Cô ấy bây giờ vẫn sẽ như trước, ổn định và bận rộn lo liệu công việc.",稳稳当当,摇摇晃晃,"Nguyên, Vô Danh Thị, Bão Trang Hạp – Hồi 4: ""Tiểu Hoàng tử vẫn an ổn giữ chiếc hộp trang điểm như một lá bùa bảo vệ, chỉ có ta Trần Lâm lo sợ run rẩy ôm một cái bí mật tày trời.""",
安定团结,ān dìng tuán jié,an định đoàn kết,,Liên hợp,Tích cực,,"Chủ ngữ, Tân ngữ","Ám chỉ tình hình ổn định, trật tự, cuộc sống hòa thuận, dân chúng sống hòa bình.",王朔《橡皮人》：“在这片‘安定团结’的城市夜景后面，我同时注意到街道屋檐下三三两两、聚在一起交头接耳的那些黑影。”,"Sau cảnh đêm ""ổn định và đoàn kết"" của thành phố này, tôi cũng chú ý đến những bóng đen tụm lại dưới mái hiên, trò chuyện thì thầm.",,动荡不安,"Đặng Tiểu Bình, Quân Đội Yếu Chỉnh Đốn: ""Chúng ta phải tuân theo chỉ thị về ổn định và đoàn kết của đồng chí Mao Trạch Đông để chỉnh đốn quân đội.""",
安室利处,ān shì lì chù,an thất lợi xứ,,Liên hợp,Tích cực,,Tân ngữ,"Ám chỉ nơi ở an toàn, thuận tiện.",她很想有安室利处以栖身,Cô ấy rất muốn có một nơi ổn định và thích hợp để làm nơi trú ngụ.,,,"Trang Tử – Từ Vô Quỷ: ""Móng chân cong, thân thể co quắp, giữa bụng và chân, tự cho rằng đó là nơi an toàn và lý tưởng""",
安家乐业,ān jiā lè yè,an gia lạc nghiệp,,Liên hợp,Tích cực,Thành ngữ về sự thư thái,"Vị ngữ, Định ngữ, Trạng ngữ",Sống ổn định và làm việc vui vẻ.,俺在北京安家乐业，你来赚我上山。★《水浒传》第八五回,"Tôi ở Bắc Kinh ổn định làm ăn, còn bạn thì đến kiếm tiền trên núi tôi.",安居乐业,流离失所,"Hán Thư – Cốc Vĩnh Truyện: ""Thu thuế nhẹ nhàng, đừng làm dân kiệt quệ tài sản, khiến lê dân thiên hạ đều an cư lạc nghiệp.""",
安富恤贫,ān fù xù pín,an phú tuất bần,,Liên hợp,Tích cực,,"Vị ngữ, Định ngữ","Cứu tế, giúp đỡ người nghèo, ổn định cuộc sống cho người giàu, giúp đỡ người khó khăn.",各国都应采取一些安富恤贫的措施，以保障社会的安定。,"Mỗi quốc gia đều nên thực hiện một số biện pháp giúp người giàu trở nên thịnh vượng và chăm sóc người nghèo, để đảm bảo sự ổn định xã hội.",安富恤穷,,"Chu Lễ – Địa Quan – Đại Tư Đồ: ""Để bảo vệ và chăm lo cho muôn dân, có sáu việc: Thứ nhất là yêu thương trẻ nhỏ, thứ hai là chăm sóc người cao tuổi, thứ ba là giúp đỡ người nghèo, thứ tư là quan tâm đến những người thiếu thốn, thứ năm là hỗ trợ người bệnh tật, thứ sáu là giữ gìn sự ổn định cho người giàu.""",
安常处顺,ān cháng chǔ shùn,an an thường xứ thuận ,,Liên hợp,Tích cực,,"Vị ngữ, Định ngữ","Thích nghi với cuộc sống yên ổn, sống trong hoàn cảnh thuận lợi, dễ dàng.",他长期以来安常处顺，缺乏锻炼，因而经不起挫折。,"Anh ấy lâu nay sống trong sự an ổn, thiếu rèn luyện, vì vậy không thể chịu đựng được những cú sốc.",安常履顺,,"Trang Tử – Dưỡng Sinh Chủ: """"Khi sống an ổn, thuận theo thời thế, thì nỗi vui buồn không thể làm xáo trộn tâm trí.""",
